,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,all_features
0,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,7,1.0,,G,,,G3,P1,P1,0.09090909090909091,48.0,36.0,
1,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,11,3.0,Clausula Vera,G,True,1.0,G3,P1,P1,0.1590909090909091,36.0,52.0,Clausula Vera_G_True
2,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,18,1.0,Authentic,G,True,1.0,B3,M3,P1,0.25757575757575757,52.0,16.0,Authentic_G_True
3,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,20,1.0,Authentic,G,False,1.0,G3,P1,P1,0.2878787878787879,16.0,100.0,Authentic_G_False
4,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,32,3.0,Clausula Vera,C,True,1.0,C4,P4,-P5,0.4772727272727273,100.0,44.0,Clausula Vera_C_True
5,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,38,1.0,Authentic,C,False,1.0,C3,-P5,-P5,0.5606060606060606,44.0,32.0,Authentic_C_False
6,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,42,1.0,Authentic,A,False,1.0,A3,M2,M2,0.6212121212121212,32.0,8.0,Authentic_A_False
7,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,43,1.0,,,,,D3,-P4,,0.6363636363636364,8.0,8.0,
8,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,44,1.0,Altizans Only,A,False,1.0,D3,-P4,M2,0.6515151515151515,8.0,16.0,Altizans Only_A_False
9,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,46,1.0,,D,,,D4,P5,-P4,0.6818181818181818,16.0,36.0,
10,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,50,3.0,Clausula Vera,A,False,0.0,A3,M2,M2,0.75,36.0,4.0,Clausula Vera_A_False
11,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,51,1.0,Authentic,D,False,0.0,D3,-P4,-P4,0.7575757575757576,4.0,40.0,Authentic_D_False
12,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,56,1.0,Altizans Only,D,False,0.0,G3,P1,-P4,0.8333333333333334,40.0,52.0,Altizans Only_D_False
13,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,62,3.0,Authentic,A,False,0.0,F3,-M2,M2,0.9318181818181818,52.0,20.0,Authentic_A_False
14,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,65,1.0,,A,,,F3,-M2,M2,0.9696969696969697,20.0,16.0,
15,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,67,1.0,Authentic,G,False,1.0,G3,P1,P1,1.0,16.0,16.0,Authentic_G_False
16,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,7,1.0,,G,,,G3,P1,P1,0.08823529411764706,48.0,40.0,
17,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,12,1.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.16176470588235295,40.0,52.0,Clausula Vera_G_False
18,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,18,3.0,Clausula Vera,D,False,1.0,D3,-P4,-P4,0.25735294117647056,52.0,4.0,Clausula Vera_D_False
19,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,19,1.0,Authentic,G,False,1.0,G3,P1,P1,0.2647058823529412,4.0,52.0,Authentic_G_False
20,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,24,3.0,Clausula Vera,G,True,1.0,G3,P1,P1,0.3602941176470588,52.0,74.0,Clausula Vera_G_True
21,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,33,4.0,Authentic,C,True,1.0,C4,P4,-P5,0.4963235294117647,74.0,52.0,Authentic_C_True
22,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,40,2.0,Authentic,G,True,1.0,B3,M3,P1,0.5919117647058824,52.0,26.0,Authentic_G_True
23,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,43,3.0,Authentic,C,False,1.0,C3,-P5,-P5,0.6397058823529411,26.0,56.0,Authentic_C_False
24,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,49,3.0,Authentic,A,False,0.0,A3,M2,M2,0.7426470588235294,56.0,16.0,Authentic_A_False
25,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,51,3.0,Clausula Vera,A,False,0.0,A3,M2,M2,0.7720588235294118,16.0,16.0,Clausula Vera_A_False
26,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,53,3.0,Clausula Vera,A,False,0.0,F3,-M2,M2,0.8014705882352942,16.0,16.0,Clausula Vera_A_False
27,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,55,3.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.8308823529411765,16.0,8.0,Clausula Vera_D_False
28,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,56,3.0,,D,,,B-3,m3,-P4,0.8455882352941176,8.0,4.0,
29,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,57,1.0,Phrygian,A,False,1.0,A3,M2,M2,0.8529411764705882,4.0,36.0,Phrygian_A_False
30,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,61,3.0,Clausula Vera,,True,-1.0,D3,-P4,,0.9191176470588235,36.0,6.0,
31,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,62,2.0,Phrygian,E,False,1.0,C3,-P5,-m3,0.9301470588235294,6.0,38.0,Phrygian_E_False
